ApplNo	ApplType	ApplPublicNotes	SponsorName
011153	NDA		PFIZER
011161	NDA		ASTELLAS
011188	NDA		GLAXOSMITHKLINE
011210	NDA		PFIZER
011228	NDA		ORGANON USA INC
011245	NDA		BRACCO
011276	NDA		GLAXOSMITHKLINE
011283	NDA		DELCOR ASSET CORP
011287	NDA		CONCORDIA
011324	NDA		BRACCO
011338	NDA		WYETH AYERST
011340	NDA		PHARM RES ASSOC
011366	NDA		XERIS
011386	NDA		GE HEALTHCARE
011418	NDA		WYETH AYERST
011459	NDA		PFIZER
011467	NDA		SANOFI AVENTIS US
011529	NDA		JANSSEN R AND D
011552	NDA		GLAXOSMITHKLINE
011556	NDA		NOVARTIS
011559	NDA		PH HEALTH
011600	NDA		EXTROVIS
011601	NDA		PHARMOBEDIENT
011613	NDA		UCB INC
011620	NDA		BRACCO
011641	NDA		PFIZER
011657	NDA		FOREST LABS
011664	NDA		MERCK
011665	NDA		BAUSCH
011673	NDA		3M
011679	NDA		ABBOTT
011683	NDA		IMMUNEX
011702	NDA		SUN PHARM INDUSTRIES
011707	NDA		ENDO PHARMS
011719	NDA		HOSPIRA
011722	NDA		MPP PHARMA
011730	NDA		HIKMA
011748	NDA		PHARMACIA AND UPJOHN
011751	NDA		APOTHECON
011757	NDA		PFIZER
011777	NDA		MALLINCKRODT
011790	NDA		HIKMA
011792	NDA		MYLAN SPECIALITY LP
011793	NDA		NOVARTIS
011795	NDA		PFIZER
011836	NDA		SANOFI AVENTIS US
011838	NDA		NOVARTIS
011839	NDA		PFIZER
011856	NDA		PHARMACIA AND UPJOHN
011860	NDA		MERCK
011870	NDA		SALIX PHARMS
011878	NDA		NOVARTIS
011909	NDA		PARKE DAVIS
011949	NDA		SHIRE LLC
011958	NDA		MERCK
011960	NDA		ASTELLAS
011963	NDA		FERA PHARMS LLC
011971	NDA		ABBVIE
011977	NDA		MERCK
011983	NDA		MERCK
011984	NDA		MERCK
012003	NDA		ABBVIE
012015	NDA		EPIC PHARMA LLC
012041	NDA		APOTHECON
012052	NDA		MERCK
012071	NDA		MERCK
012097	NDA		DELCOR ASSET CORP
012102	NDA		3M
012104	NDA		SUN PHARM INDS INC
012122	NDA		LILLY
012125	NDA		EASTMAN KODAK
012141	NDA		BAXTER HLTHCARE
012142	NDA		BAXTER HLTHCARE
012145	NDA		APOTHECON
012148	NDA		ABBVIE
012151	NDA		PFIZER
012154	NDA		HOSPIRA
012157	NDA		BAUSCH
012164	NDA		APOTHECON
012179	NDA		HIKMA
012209	NDA		SPECTRUM PHARMS
012223	NDA		PAI HOLDINGS PHARM
012249	NDA		VALEANT PHARM INTL
012250	NDA		HOSPIRA
012259	NDA		PHARMACIA AND UPJOHN
012281	NDA		ROBINS AH
012301	NDA		BAUSCH
012302	NDA		ABBVIE
012329	NDA		NOVARTIS
012342	NDA		ADVANZ PHARMA
012359	NDA		SHIRE
012365	NDA		MEDA PHARMS
012366	NDA		MEDA PHARMS
012376	NDA		MERCK
012383	NDA		MERCK
012402	NDA		PROCTER AND GAMBLE
012418	NDA		ABBVIE
012421	NDA		PHARMACIA AND UPJOHN
012429	NDA		WAYLIS THERAP
012462	NDA		PFIZER
012486	NDA		ROCHE
012487	NDA		ROCHE
012489	NDA		AH ROBINS INC
012515	NDA		DELCOR ASSET CORP
012516	NDA		NOVARTIS
012541	NDA		PFIZER
012542	NDA		NOVARTIS
012546	NDA		ANI PHARMS
012583	NDA		ALLERGAN
012616	NDA		PFIZER
012623	NDA		PFIZER
012649	NDA		MERCK
012657	NDA		SCHERING
012665	NDA		LILLY
012675	NDA		ASPEN GLOBAL INC
012678	NDA		SANDOZ
012697	NDA		VALEANT PHARM INTL
012699	NDA		GD SEARLE LLC
012703	NDA		ASTRAZENECA
012708	NDA		MEDPOINTE PHARM HLC
012715	NDA		ROCHE
012728	NDA		ORTHO MCNEIL PHARM
012731	NDA		MERCK
012750	NDA		BAUSCH
012753	NDA		NOVARTIS
012770	NDA		SAPTALIS PHARMS
012772	NDA		LILLY
012787	NDA		EUROFARMA
012796	NDA		WYETH PHARMS INC
012806	NDA		INA PHARMS
012813	NDA		ALLERGAN
012827	NDA		CASPER PHARMA LLC
012828	NDA		ABBOTT
