decision_id,company_name,drug_brand,decision_date,application_number,crosscheck_status,openfda_sponsor_name,openfda_brand_name,openfda_decision_date,openfda_source_url,detail
D428,Eli Lilly and Company,Portrazza,2015-11-24,125547,MATCH,ELI LILLY CO,PORTRAZZA,2015-11-24,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125547,"date, brand and sponsor all agree with openFDA"
D429,Takeda Pharmaceutical Company Limited (Millennium Pharmaceuticals),Ninlaro,2015-11-20,208462,MATCH,TAKEDA PHARMS USA,NINLARO,2015-11-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=208462,"date, brand and sponsor all agree with openFDA"
D430,Johnson & Johnson (Janssen Biotech),Darzalex,2015-11-16,761036,MATCH,JANSSEN BIOTECH,DARZALEX,2015-11-16,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761036,"date, brand and sponsor all agree with openFDA"
D431,AstraZeneca PLC,Tagrisso,2015-11-13,208065,MATCH,ASTRAZENECA,TAGRISSO,2015-11-13,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=208065,"date, brand and sponsor all agree with openFDA"
D432,"Genentech, Inc. (Roche group)",Cotellic,2015-11-10,206192,MATCH,GENENTECH INC,COTELLIC,2015-11-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=206192,"date, brand and sponsor all agree with openFDA"
D433,"Gilead Sciences, Inc.",Genvoya,2015-11-05,207561,MATCH,GILEAD SCIENCES INC,GENVOYA,2015-11-05,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=207561,"date, brand and sponsor all agree with openFDA"
D434,GlaxoSmithKline plc,Nucala,2015-11-04,125526,MATCH,GLAXOSMITHKLINE LLC,NUCALA,2015-11-04,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125526,"date, brand and sponsor all agree with openFDA"
D435,Alexion Pharmaceuticals Inc. (acquired by AstraZeneca 2021),Strensiq,2015-10-23,125513,MATCH,ALEXION PHARM,STRENSIQ,2015-10-23,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125513,"date, brand and sponsor all agree with openFDA"
D436,"Johnson & Johnson (Janssen Products, LP)",Yondelis,2015-10-23,207953,MATCH,JANSSEN PRODS,YONDELIS,2015-10-23,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=207953,"date, brand and sponsor all agree with openFDA"
D437,"Relypsa, Inc. (acquired by Vifor Pharma 2016)",Veltassa,2015-10-21,205739,MATCH,VIFOR PHARMA,VELTASSA,2015-10-21,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=205739,"date, brand and sponsor all agree with openFDA"
D438,"Boehringer Ingelheim Pharmaceuticals, Inc.",Praxbind,2015-10-16,761025,MATCH,BOEHRINGER INGELHEIM,PRAXBIND,2015-10-16,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761025,"date, brand and sponsor all agree with openFDA"
D439,Alkermes plc,Aristada,2015-10-06,207533,DATE_DIFFERS_FROM_DRUGSFDA_1_3D,ALKERMES INC,ARISTADA,2015-10-05,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=207533,master decision_date 2015-10-06 (FDA NME approval report) differs by 1 day(s) from Drugs@FDA submission-status date(s) 2015-10-05 for NDA207533. Known FDA-vs-Drugs@FDA reporting difference; both sources official.
D440,Novo Nordisk A/S,Tresiba,2015-09-25,203314,MATCH,NOVO,TRESIBA,2015-09-25,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=203314,"date, brand and sponsor all agree with openFDA"
D441,"Taiho Oncology, Inc. (subsidiary of Otsuka Holdings)",Lonsurf,2015-09-22,207981,MATCH,TAIHO ONCOLOGY,LONSURF,2015-09-22,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=207981,"date, brand and sponsor all agree with openFDA"
D442,Allergan plc (acquired by AbbVie 2020),Vraylar,2015-09-17,204370,MATCH,ABBVIE,VRAYLAR,2015-09-17,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=204370,"date, brand and sponsor all agree with openFDA"
D443,"Tesaro, Inc. (acquired by GSK 2018)",Varubi,2015-09-02,206500,DATE_DIFFERS_FROM_DRUGSFDA_1_3D,TERSERA,VARUBI,2015-09-01,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=206500,master decision_date 2015-09-02 (FDA NME approval report) differs by 1 day(s) from Drugs@FDA submission-status date(s) 2015-09-01 for NDA206500. Known FDA-vs-Drugs@FDA reporting difference; both sources official.
D444,Amgen Inc.,Repatha,2015-08-27,125522,MATCH,AMGEN INC,REPATHA,2015-08-27,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125522,"date, brand and sponsor all agree with openFDA"
D445,Bristol Myers Squibb Company,Daklinza,2015-07-24,206843,MATCH,BRISTOL-MYERS SQUIBB,DAKLINZA,2015-07-24,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=206843,"date, brand and sponsor all agree with openFDA"
D446,Novartis AG,Odomzo,2015-07-24,205266,MATCH_DATE_ONLY,SUN PHARM,ODOMZO,2015-07-24,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=205266,date and brand agree; sponsor wording differs (master 'Novartis AG' vs openFDA 'SUN PHARM') — ownership change or legal-entity name
D447,"Regeneron Pharmaceuticals, Inc. (co-developed with Sanofi)",Praluent,2015-07-24,125559,MATCH,REGENERON PHARMACEUTICALS,PRALUENT,2015-07-24,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125559,"date, brand and sponsor all agree with openFDA"
D448,"Otsuka Pharmaceutical Co., Ltd. (with Lundbeck)",Rexulti,2015-07-10,205422,MATCH,OTSUKA,REXULTI,2015-07-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=205422,"date, brand and sponsor all agree with openFDA"
D449,Novartis AG,Entresto,2015-07-07,207620,MATCH,NOVARTIS PHARMS CORP,ENTRESTO,2015-07-07,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=207620,"date, brand and sponsor all agree with openFDA"
