decision_id,year,application_number,application_kind,company_name,openfda_sponsor_name,ticker,exchange,sponsor_resolution_basis,drug_brand,drug_generic,product_details,decision_type,decision_date,chemical_type_code,chemical_type_description,review_priority,indication,source_url_1,source_url_2,source_url_3,payload_file,payload_sha256_prefix,verification_status,us_investable_class,notes
V27-NDA020789-2000-03-27,2000,NDA020789,NDA,ADVANZ PHARMA,ADVANZ PHARMA,,,UNRESOLVED - no exact match for ADVANZ PHARMA; blank beats guessed,ZONEGRAN,ZONISAMIDE,ZONEGRAN (CAPSULE ORAL); ZONEGRAN (CAPSULE ORAL),Original Approval (Type 1 - New Molecular Entity),2000-03-27,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020789,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020789""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020789 approved 2000-03-27, brand ZONEGRAN, type Type 1 - New Molecular Entity, sponsor ADVANZ PHARMA. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA020971-2000-04-03,2000,NDA020971,NDA,DEPROCO,DEPROCO,,,UNRESOLVED - no exact match for DEPROCO; blank beats guessed,ARTICAINE,ARTICAINE HYDROCHLORIDE AND EPINEPHRINE,SEPTOCAINE (INJECTABLE INJECTION); SEPTOCAINE (INJECTABLE INJECTION),Original Approval (Type 1 - New Molecular Entity and Type 4 - New Combination),2000-04-03,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020971,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020971""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020971 approved 2000-04-03, brand ARTICAINE, type Type 1 - New Molecular Entity and Type 4 - New Combination, sponsor DEPROCO. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021119-2000-04-12,2000,NDA021119,NDA,BAUSCH LOMB IRELAND,BAUSCH LOMB IRELAND,,,UNRESOLVED - no exact match for BAUSCH LOMB IRELAND; blank beats guessed,VISUDYNE,VERTEPORFIN FOR INJECTION,VISUDYNE (INJECTABLE INJECTION),Original Approval (Type 1 - New Molecular Entity),2000-04-12,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021119,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021119""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021119 approved 2000-04-12, brand VISUDYNE, type Type 1 - New Molecular Entity, sponsor BAUSCH LOMB IRELAND. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA020938-2000-04-13,2000,NDA020938,NDA,BOEHRINGER INGELHEIM,BOEHRINGER INGELHEIM,,,UNRESOLVED - no exact match for BOEHRINGER INGELHEIM; blank beats guessed,MOBIC,,MOBIC (TABLET ORAL); MOBIC (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2000-04-13,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020938,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020938""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020938 approved 2000-04-13, brand MOBIC, type Type 1 - New Molecular Entity, sponsor BOEHRINGER INGELHEIM. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021130-2000-04-18,2000,NDA021130,NDA,PFIZER,PFIZER,,,UNRESOLVED - no exact match for PFIZER; blank beats guessed,ZYVOX,LINEZOLID,ZYVOX (TABLET ORAL); ZYVOX (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2000-04-18,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021130,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021130""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021130 approved 2000-04-18, brand ZYVOX, type Type 1 - New Molecular Entity, sponsor PFIZER. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-BLA021081-2000-04-20,2000,BLA021081,BLA,SANOFI AVENTIS US,SANOFI AVENTIS US,,,UNRESOLVED - no exact match for SANOFI AVENTIS US; blank beats guessed,LANTUS SOLOSTAR,INSULIN GLARGINE,LANTUS SOLOSTAR (INJECTABLE INJECTION); LANTUS (INJECTABLE INJECTION),Original Approval (Type 1 - New Molecular Entity),2000-04-20,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021081,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA021081""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: BLA021081 approved 2000-04-20, brand LANTUS SOLOSTAR, type Type 1 - New Molecular Entity, sponsor SANOFI AVENTIS US. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA020823-2000-04-21,2000,NDA020823,NDA,NOVARTIS,NOVARTIS,,,UNRESOLVED - no exact match for NOVARTIS; blank beats guessed,EXELON,,EXELON (CAPSULE ORAL); EXELON (CAPSULE ORAL),Original Approval (Type 1 - New Molecular Entity),2000-04-21,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020823,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020823""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA020823 approved 2000-04-21, brand EXELON, type Type 1 - New Molecular Entity, sponsor NOVARTIS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021176-2000-05-26,2000,NDA021176,NDA,COSETTE,COSETTE,,,UNRESOLVED - no exact match for COSETTE; blank beats guessed,WELCHOL,,WELCHOL (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2000-05-26,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021176,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021176""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021176 approved 2000-05-26, brand WELCHOL, type Type 1 - New Molecular Entity, sponsor COSETTE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-BLA103909-2000-06-02,2000,BLA103909,BLA,GENENTECH,GENENTECH,,,UNRESOLVED - no exact match for GENENTECH; blank beats guessed,TNKASE,TENECTEPLASE,TNKASE (VIAL ),Original Approval (Type 1 - New Molecular Entity),2000-06-02,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103909,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA103909""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: BLA103909 approved 2000-06-02, brand TNKASE, type Type 1 - New Molecular Entity, sponsor GENENTECH. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-BLA020986-2000-06-07,2000,BLA020986,BLA,NOVO NORDISK INC,NOVO NORDISK INC,,,UNRESOLVED - no exact match for NOVO NORDISK INC; blank beats guessed,INSULIN DILUTING MEDIUM FOR NOVOLOG,WATER INJECTION,NOVOLOG PENFILL (INJECTABLE SUBCUTANEOUS); NOVOLOG FLEXTOUCH (INJECTABLE SUBCUTANEOUS),Original Approval (Type 1 - New Molecular Entity),2000-06-07,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020986,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA020986""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,63089e086fba,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: BLA020986 approved 2000-06-07, brand INSULIN DILUTING MEDIUM FOR NOVOLOG, type Type 1 - New Molecular Entity, sponsor NOVO NORDISK INC. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json SHA prefix 63089e086fba. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
