decision_id,year,application_number,application_kind,company_name,openfda_sponsor_name,ticker,exchange,sponsor_resolution_basis,drug_brand,drug_generic,product_details,decision_type,decision_date,chemical_type_code,chemical_type_description,review_priority,indication,source_url_1,source_url_2,source_url_3,payload_file,payload_sha256_prefix,verification_status,us_investable_class,notes
V27-NDA021964-2008-04-24,2008,NDA021964,NDA,SALIX PHARMS,SALIX PHARMS,,,UNRESOLVED - no exact match for SALIX PHARMS; blank beats guessed,RELISTOR,METHYLNALTREXONE BROMIDE,RELISTOR (SOLUTION SUBCUTANEOUS); RELISTOR (SOLUTION SUBCUTANEOUS),Original Approval (Type 1 - New Molecular Entity),2008-04-24,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021964,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021964""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021964 approved 2008-04-24, brand RELISTOR, type Type 1 - New Molecular Entity, sponsor SALIX PHARMS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022159-2008-05-09,2008,NDA022159,NDA,SEPTODONT HOLDING,SEPTODONT HOLDING,,,UNRESOLVED - no exact match for SEPTODONT HOLDING; blank beats guessed,ORAVERSE,PHENTOLAMINE MESYLATE,ORAVERSE (INJECTABLE INJECTION),Original Approval (Type 3 - New Dosage Form),2008-05-09,TYPE 3,Type 3 - New Dosage Form,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022159,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022159""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022159 approved 2008-05-09, brand ORAVERSE, type Type 3 - New Dosage Form, sponsor SEPTODONT HOLDING. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021775-2008-05-20,2008,NDA021775,NDA,CUBIST PHARMS,CUBIST PHARMS,,,UNRESOLVED - no exact match for CUBIST PHARMS; blank beats guessed,ENTEREG,,ENTEREG (CAPSULE ORAL),Original Approval (Type 1 - New Molecular Entity),2008-05-20,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021775,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021775""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021775 approved 2008-05-20, brand ENTEREG, type Type 1 - New Molecular Entity, sponsor CUBIST PHARMS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022212-2008-06-23,2008,NDA022212,NDA,SANDOZ,SANDOZ,,,UNRESOLVED - no exact match for SANDOZ; blank beats guessed,DIFLUPREDNATE OPHTHALMIC,DIFLUPREDNATE OPHTHALMIC,DUREZOL (EMULSION OPHTHALMIC),Original Approval (Type 1 - New Molecular Entity),2008-06-23,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022212,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022212""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022212 approved 2008-06-23, brand DIFLUPREDNATE OPHTHALMIC, type Type 1 - New Molecular Entity, sponsor SANDOZ. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022090-2008-07-03,2008,NDA022090,NDA,BAYER HLTHCARE,BAYER HLTHCARE,,,UNRESOLVED - no exact match for BAYER HLTHCARE; blank beats guessed,EOVIST,GADOXETATE DISODIUM,EOVIST (SOLUTION INTRAVENOUS); EOVIST (SOLUTION INTRAVENOUS),Original Approval (Type 1 - New Molecular Entity),2008-07-03,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022090,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022090""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022090 approved 2008-07-03, brand EOVIST, type Type 1 - New Molecular Entity, sponsor BAYER HLTHCARE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022156-2008-08-01,2008,NDA022156,NDA,CHIESI,CHIESI,,,UNRESOLVED - no exact match for CHIESI; blank beats guessed,CLEVIPREX,CLEVIDIPINE,CLEVIPREX (EMULSION INTRAVENOUS); CLEVIPREX (EMULSION INTRAVENOUS),Original Approval (Type 1 - New Molecular Entity),2008-08-01,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022156,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022156""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022156 approved 2008-08-01, brand CLEVIPREX, type Type 1 - New Molecular Entity, sponsor CHIESI. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021894-2008-08-15,2008,NDA021894,NDA,BAUSCH,BAUSCH,,,UNRESOLVED - no exact match for BAUSCH; blank beats guessed,XENAZINE,TETRABENAZINE,XENAZINE (TABLET ORAL); XENAZINE (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2008-08-15,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021894,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021894""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021894 approved 2008-08-15, brand XENAZINE, type Type 1 - New Molecular Entity, sponsor BAUSCH. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-BLA125268-2008-08-22,2008,BLA125268,BLA,AMGEN,AMGEN,,,UNRESOLVED - no exact match for AMGEN; blank beats guessed,NPLATE,ROMIPLOSTIM,NPLATE (INJECTABLE SUBCUTANEOUS),Original Approval (Type 1 - New Molecular Entity),2008-08-22,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125268,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""BLA125268""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: BLA125268 approved 2008-08-22, brand NPLATE, type Type 1 - New Molecular Entity, sponsor AMGEN. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022198-2008-09-12,2008,NDA022198,NDA,APOTEX,APOTEX,,,UNRESOLVED - no exact match for APOTEX; blank beats guessed,SANCUSO,GRANISETRON,"SANCUSO (FILM, EXTENDED RELEASE TRANSDERMAL)",Original Approval (Type 2 - New Active Ingredient),2008-09-12,TYPE 2,Type 2 - New Active Ingredient,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022198,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022198""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022198 approved 2008-09-12, brand SANCUSO, type Type 2 - New Active Ingredient, sponsor APOTEX. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022290-2008-09-19,2008,NDA022290,NDA,GE HEALTHCARE,GE HEALTHCARE,,,UNRESOLVED - no exact match for GE HEALTHCARE; blank beats guessed,ADREVIEW,IOBENGUANE I-123,ADREVIEW (SOLUTION INTRAVENOUS),Original Approval (Type 1 - New Molecular Entity),2008-09-19,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022290,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022290""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022290 approved 2008-09-19, brand ADREVIEW, type Type 1 - New Molecular Entity, sponsor GE HEALTHCARE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022206-2008-10-08,2008,NDA022206,NDA,ABBVIE,ABBVIE,,,UNRESOLVED - no exact match for ABBVIE; blank beats guessed,RAPAFLO,,RAPAFLO (CAPSULE ORAL); RAPAFLO (CAPSULE ORAL),Original Approval (Type 1 - New Molecular Entity),2008-10-08,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022206,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022206""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022206 approved 2008-10-08, brand RAPAFLO, type Type 1 - New Molecular Entity, sponsor ABBVIE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022253-2008-10-28,2008,NDA022253,NDA,UCB INC,UCB INC,,,UNRESOLVED - no exact match for UCB INC; blank beats guessed,VIMPAT,LACOSAMIDE,VIMPAT (TABLET ORAL); VIMPAT (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2008-10-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022253,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022253""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022253 approved 2008-10-28, brand VIMPAT, type Type 1 - New Molecular Entity, sponsor UCB INC. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022030-2008-10-31,2008,NDA022030,NDA,PFIZER,PFIZER,,,UNRESOLVED - no exact match for PFIZER; blank beats guessed,TOVIAZ,FESOTERODINE FUMARATE,"TOVIAZ (TABLET, EXTENDED RELEASE ORAL); TOVIAZ (TABLET, EXTENDED RELEASE ORAL)",Original Approval (Type 1 - New Molecular Entity),2008-10-31,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022030,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022030""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022030 approved 2008-10-31, brand TOVIAZ, type Type 1 - New Molecular Entity, sponsor PFIZER. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021911-2008-11-14,2008,NDA021911,NDA,EISAI INC,EISAI INC,,,UNRESOLVED - no exact match for EISAI INC; blank beats guessed,BANZEL,RUFINAMIDE,BANZEL (TABLET ORAL); BANZEL (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2008-11-14,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021911,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021911""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021911 approved 2008-11-14, brand BANZEL, type Type 1 - New Molecular Entity, sponsor EISAI INC. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022291-2008-11-20,2008,NDA022291,NDA,NOVARTIS,NOVARTIS,,,UNRESOLVED - no exact match for NOVARTIS; blank beats guessed,PROMACTA,ELTROMBOPAG OLAMINE,PROMACTA (TABLET ORAL); PROMACTA (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2008-11-20,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022291,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022291""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022291 approved 2008-11-20, brand PROMACTA, type Type 1 - New Molecular Entity, sponsor NOVARTIS. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022304-2008-11-20,2008,NDA022304,NDA,COLLEGIUM PHARM INC,COLLEGIUM PHARM INC,,,UNRESOLVED - no exact match for COLLEGIUM PHARM INC; blank beats guessed,TAPENTADOL,TAPENTADOL HYDROCHLORIDE,NUCYNTA (TABLET ORAL); NUCYNTA (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2008-11-20,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022304,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022304""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022304 approved 2008-11-20, brand TAPENTADOL, type Type 1 - New Molecular Entity, sponsor COLLEGIUM PHARM INC. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022244-2008-12-08,2008,NDA022244,NDA,EISAI INC,EISAI INC,,,UNRESOLVED - no exact match for EISAI INC; blank beats guessed,LUSEDRA,,LUSEDRA (SOLUTION INTRAVENOUS),Original Approval (Type 1 - New Molecular Entity),2008-12-08,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022244,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022244""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022244 approved 2008-12-08, brand LUSEDRA, type Type 1 - New Molecular Entity, sponsor EISAI INC. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022224-2008-12-15,2008,NDA022224,NDA,ABBVIE,ABBVIE,,,UNRESOLVED - no exact match for ABBVIE; blank beats guessed,TRILIPIX,,"TRILIPIX (CAPSULE, DELAYED RELEASE ORAL); TRILIPIX (CAPSULE, DELAYED RELEASE ORAL)",Original Approval (Type 2 - New Active Ingredient),2008-12-15,TYPE 2,Type 2 - New Active Ingredient,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022224,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022224""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022224 approved 2008-12-15, brand TRILIPIX, type Type 2 - New Active Ingredient, sponsor ABBVIE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022311-2008-12-15,2008,NDA022311,NDA,GENZYME,GENZYME,,,UNRESOLVED - no exact match for GENZYME; blank beats guessed,MOZOBIL,PLERIXAFOR,MOZOBIL (SOLUTION SUBCUTANEOUS),Original Approval (Type 1 - New Molecular Entity),2008-12-15,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022311,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022311""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022311 approved 2008-12-15, brand MOZOBIL, type Type 1 - New Molecular Entity, sponsor GENZYME. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA021711-2008-12-22,2008,NDA021711,NDA,LANTHEUS MEDCL,LANTHEUS MEDCL,,,UNRESOLVED - no exact match for LANTHEUS MEDCL; blank beats guessed,ABLAVAR,,ABLAVAR (SOLUTION INTRAVENOUS); ABLAVAR (SOLUTION INTRAVENOUS),Original Approval (Type 1 - New Molecular Entity),2008-12-22,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021711,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021711""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA021711 approved 2008-12-22, brand ABLAVAR, type Type 1 - New Molecular Entity, sponsor LANTHEUS MEDCL. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022201-2008-12-24,2008,NDA022201,NDA,FERRING,FERRING,,,UNRESOLVED - no exact match for FERRING; blank beats guessed,FIRMAGON,DEGARELIX,FIRMAGON (POWDER SUBCUTANEOUS); FIRMAGON (POWDER SUBCUTANEOUS),Original Approval (Type 1 - New Molecular Entity),2008-12-24,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022201,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022201""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20080101%20TO%2020081231]&limit=1000&skip=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,206c39855d82,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022201 approved 2008-12-24, brand FIRMAGON, type Type 1 - New Molecular Entity, sponsor FERRING. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json SHA prefix 206c39855d82. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
V27-NDA022256-2009-01-14,2009,NDA022256,NDA,ABBVIE,ABBVIE,,,UNRESOLVED - no exact match for ABBVIE; blank beats guessed,SAVELLA,MILNACIPRAN HYDROCHLORIDE,SAVELLA (TABLET ORAL); SAVELLA (TABLET ORAL),Original Approval (Type 1 - New Molecular Entity),2009-01-14,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022256,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA022256""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20090101%20TO%2020091231]&limit=1000&skip=0",data/raw/openfda_orig_decisions_2011_2026/decisions_2009.json,f916c1243b01,"Verified - verbatim from committed openFDA payload, SHA-checked",UNRESOLVED - requires ticker verification,"V27 verified 2000-2026 expansion: NDA022256 approved 2009-01-14, brand SAVELLA, type Type 1 - New Molecular Entity, sponsor ABBVIE. Payload data/raw/openfda_orig_decisions_2011_2026/decisions_2009.json SHA prefix f916c1243b01. Official Drugs@FDA link + replayable openFDA query provided for manual review. Ticker blank beats guessed."
