audit_id,year,application_number,application_kind,drug_brand,drug_generic,openfda_holder,payload_decision_date,payload_class_code,payload_class_description,payload_review_priority,tracked_in,tracked_row_id,tracked_table_date,tracked_table_class,tracked_table_priority,date_agreement,class_agreement,priority_agreement,matched_via,verdict,review_flag,source_url_drugsatfda,source_query_url
F1985-040,1985,NDA018905,NDA,HEXABRIX,IOXAGLATE MEGLUMINE 39.3%; IOXAGLATE SODIUM 19.6%,GUERBET,1985-07-26,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,STANDARD,fda_decisions_master.csv,D1034,1985-07-26,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018905,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-041,1985,NDA018509,NDA,BAROS,SODIUM BICARBONATE 460MG/GM; TARTARIC ACID 420MG/GM,MALLINCKRODT INC,1985-08-07,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1035,1985-08-07,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018509,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-042,1985,NDA019259,NDA,FLORONE E,DIFLORASONE DIACETATE 0.05%,PFIZER,1985-08-28,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019259,1985-08-28,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019259,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-043,1985,NDA019260,NDA,PSORCON,DIFLORASONE DIACETATE 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,PFIZER,1985-08-28,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019260,1985-08-28,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019260,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-044,1985,NDA018738,NDA,EXELDERM,SULCONAZOLE NITRATE,JOURNEY,1985-08-30,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1037,1985-08-30,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018738,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-045,1985,NDA019071,NDA,UROCIT-K,POTASSIUM CITRATE,MISSION PHARMA,1985-08-30,TYPE 3,Type 3 - New Dosage Form,PRIORITY,fda_original_non_nme_decisions.csv,O-NDA019071,1985-08-30,TYPE 3,PRIORITY,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019071,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-046,1985,NDA019270,NDA,BETOPTIC,BETAXOLOL HYDROCHLORIDE,SANDOZ,1985-08-30,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1036,1985-08-30,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019270,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-047,1985,NDA017760,NDA,FML,FLUOROMETHOLONE 0.1%,ALLERGAN,1985-09-04,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA017760,1985-09-04,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017760,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-048,1985,NDA019398,NDA,AMINOSYN-PF 7%,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, GLYCINE, HISTIDINE, PROLINE, SERINE, TAURINE, AND TYROSINE",OTSUKA ICU MEDCL,1985-09-06,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019398,1985-09-06,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019398,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-049,1985,NDA019479,NDA,DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE 5GM/100ML,HOSPIRA,1985-09-17,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019479,1985-09-17,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019479,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
