audit_id,year,application_number,application_kind,drug_brand,drug_generic,openfda_holder,payload_decision_date,payload_class_code,payload_class_description,payload_review_priority,tracked_in,tracked_row_id,tracked_table_date,tracked_table_class,tracked_table_priority,date_agreement,class_agreement,priority_agreement,matched_via,verdict,review_flag,source_url_drugsatfda,source_query_url
F1985-060,1985,NDA018887,NDA,INTAL,CROMOLYN SODIUM 0.8MG/INH,KING PHARMS LLC,1985-12-05,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018887,1985-12-05,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018887,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-061,1985,NDA020145,NDA,NITRO-DUR,NITROGLYCERIN,USPHARMA,1985-12-10,UNKNOWN,,UNKNOWN,fda_original_non_nme_decisions.csv,O-NDA020145,1985-12-10,UNKNOWN,UNKNOWN,YES,BOTH_NOT_STATED,BOTH_NOT_STATED,application_number,TRACKED_REVIEW,payload published no submission_class_code,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020145,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-062,1985,NDA019421,NDA,EXIDINE,CHLORHEXIDINE GLUCONATE 2.5%,XTTRIUM,1985-12-17,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019421,1985-12-17,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019421,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-063,1985,NDA019422,NDA,DYNA-HEX 2,CHLORHEXIDINE GLUCONATE,XTTRIUM,1985-12-17,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019422,1985-12-17,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019422,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-064,1985,NDA019219,NDA,BETAGAN,LEVOBUNOLOL HYDROCHLORIDE 0.5%,ALLERGAN,1985-12-19,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1044,1985-12-19,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019219,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-065,1985,NDA018654,NDA,VERSED,MIDAZOLAM HYDROCHLORIDE EQ 5MG BASE/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,HLR,1985-12-20,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1045,1985-12-20,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018654,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-066,1985,NDA018810,NDA,THERMAZENE,SILVER SULFADIAZINE,THEPHARMANETWORK LLC,1985-12-23,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018810,1985-12-23,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018810,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-067,1985,NDA018972,NDA,CORDARONE,AMIODARONE HYDROCHLORIDE 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,WYETH PHARMS,1985-12-24,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1046,1985-12-24,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018972,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-068,1985,NDA018998,NDA,VASOTEC,ENALAPRIL MALEATE,BAUSCH,1985-12-24,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1048,1985-12-24,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018998,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-069,1985,NDA019044,NDA,INDIUM IN 111 OXYQUINOLINE,INDIUM IN-111 OXYQUINOLINE,GE HEALTHCARE,1985-12-24,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1049,1985-12-24,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019044,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-070,1985,NDA018677,NDA,CESAMET,NABILONE,BAUSCH,1985-12-26,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1050,1985-12-26,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018677,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-071,1985,NDA018956,NDA,OMNIPAQUE 140,IOHEXOL,GE HEALTHCARE,1985-12-26,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1051,1985-12-26,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018956,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-072,1985,NDA018708,NDA,DORAL,QUAZEPAM,GALT PHARMS,1985-12-27,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1054,1985-12-27,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018708,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-073,1985,NDA018948,NDA,CARNITOR,LEVOCARNITINE,LEADIANT BIOSCI INC,1985-12-27,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1052,1985-12-27,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018948,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-074,1985,NDA019322,NDA,TEMOVATE,CLOBETASOL PROPIONATE 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,FOUGERA,1985-12-27,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1055,1985-12-27,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019322,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-075,1985,NDA019323,NDA,TEMOVATE,CLOBETASOL PROPIONATE 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,FOUGERA,1985-12-27,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_decisions_master.csv,D1055,1985-12-27,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_REVIEW,"master-referenced companion original: Compilation Temovate row (NDA019322, D1055) lists NDA019323 as an additional application number; kept on the master instead of duplicating it as a separate non-NME row",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019323,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-076,1985,NDA050588,NDA,CEFOTAN,CEFOTETAN,PAI HOLDINGS PHARM,1985-12-27,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1053,1985-12-27,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050588,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-077,1985,NDA018644,NDA,WELLBUTRIN,BUPROPION HYDROCHLORIDE 100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,GLAXOSMITHKLINE,1985-12-30,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1057,1985-12-30,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018644,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-078,1985,NDA018873,NDA,MEXITIL,MEXILETINE HYDROCHLORIDE 250MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,BOEHRINGER INGELHEIM,1985-12-30,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1056,1985-12-30,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018873,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-079,1985,NDA018735,NDA,ISOVUE-250,IOPAMIDOL,BRACCO,1985-12-31,TYPE 1,Type 1 - New Molecular Entity,STANDARD,fda_decisions_master.csv,D1058,1985-12-31,(not asserted in master),Standard,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018735,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-080,1985,NDA018859,NDA,VIRAZOLE,RIBAVIRIN,BAUSCH,1985-12-31,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,fda_decisions_master.csv,D1059,1985-12-31,(not asserted in master),Priority,YES,NOT_ASSERTED_IN_TRACKING_TABLE,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018859,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=0"
F1985-081,1985,NDA019084,NDA,NIZORAL,KETOCONAZOLE 2% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,JANSSEN PHARMA,1985-12-31,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019084,1985-12-31,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019084,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
F1985-082,1985,NDA019425,NDA,TRANDATE,LABETALOL HYDROCHLORIDE 5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,SEBELA IRELAND LTD,1985-12-31,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA019425,1985-12-31,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019425,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19850101%20TO%2019851231]&limit=1000&skip=1000"
