row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1975-34,NDA017569,probe_NDA017569.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017569%22&limit=1000,0969ae1c5c833e1bc963e15c9227ac43c8982ea1696567cd249409de7caf784f,19750912,TYPE 1,PRIORITY,GLENWOOD,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-06,BLA017835,probe_BLA017835.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22BLA017835%22&limit=1000,fdaf8fc0e8078f3cccd00077add51eef845a9671bef34cc8526fdd769e91cf8d,19760223,TYPE 1,PRIORITY,ISO TEX,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-07,BLA017836,probe_BLA017836.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22BLA017836%22&limit=1000,9672217e5f55a7969b1750ef576c3ff22178ee0016085447781205a26a85ff6c,19760223,TYPE 1,PRIORITY,ISO TEX,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-10,NDA017518,probe_NDA017518.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017518%22&limit=1000,6dd7b62ae084145434dd3fa282ffcac22a06c11302359fe6b9fcfcd7865c36cd,19760311,TYPE 1,PRIORITY,3M,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-11,NDA017581,probe_NDA017581.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017581%22&limit=1000,f6f0e0598dd3b764727b1f9114f3088281ba979dceebe2934370f445c94db0c4,19760311,TYPE 1,STANDARD,ATNAHS PHARMA US,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-12,NDA017604,probe_NDA017604.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017604%22&limit=1000,8e7f4873f70d00d50a11490e8c6344ce1a9e03ffcebdf85306e89a4d52cb8f79,19760316,TYPE 1,PRIORITY,PHARMACO,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-16,NDA017628,probe_NDA017628.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017628%22&limit=1000,16bf89a958bffab1e3cca4d7f20d0a8df76e65b14890fcf8603aa18f8ef35dc1,19760324,TYPE 1,STANDARD,ORTHO MCNEIL JANSSEN,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-17,NDA017630,probe_NDA017630.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017630%22&limit=1000,f05c6cda98913d1355e29df930f190adc55358ed9238629cb9c6430aab186f0e,19760324,TYPE 1,PRIORITY,GE HEALTHCARE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-19,NDA017657,probe_NDA017657.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017657%22&limit=1000,b95672a86db9c592566be4932447f72c08c71ee9eaff0703a2e90ef66cb1c9b9,19760325,TYPE 1,PRIORITY,SANOFI AVENTIS US,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-27,NDA017573,probe_NDA017573.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017573%22&limit=1000,a0ab34e0b0eea8083e4806ff8042c29bf9e73a55bbb12cf9b5c51ff8681833dd,19760512,TYPE 1,PRIORITY,SCHERING,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-31,NDA017478,probe_NDA017478.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017478%22&limit=1000,06979fa00487e000d461057141c8d3c0e333a33c8f1032fefccda6d55ec3df33,19760517,TYPE 1,PRIORITY,LANTHEUS MEDCL,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-38,NDA017557,probe_NDA017557.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017557%22&limit=1000,846a9f3858bd624fb068f2420f35f472f73e1d924a3b780b2dab71523f77c53c,19760621,TYPE 1,PRIORITY,SANOFI AVENTIS US,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-40,NDA017442,probe_NDA017442.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017442%22&limit=1000,60004db92406556b1a356053d73f302711db0c14ae0900826f7c4ec10b5f308d,19760623,TYPE 1,PRIORITY,PFIZER,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-43,NDA017697,probe_NDA017697.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017697%22&limit=1000,c36f13963cda7b2a7e88ee311bec59ca53acff7285d1e29803545e1bfd642d19,19760721,TYPE 1,PRIORITY,BRACCO,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-45,NDA017588,probe_NDA017588.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017588%22&limit=1000,73e34060529c217a8538f20919caa489ad45f397068291693ea3b47c80bee5f2,19760804,TYPE 1,STANDARD,AZURITY,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-47,NDA017751,probe_NDA017751.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017751%22&limit=1000,3066000e911e7abe903e8020b6047aa3ef1359ff19896ff69ab8eef4d32a67f2,19760830,TYPE 1,STANDARD,ASTRAZENECA,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-54,NDA017594,probe_NDA017594.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017594%22&limit=1000,d712291d47966e79d450b07779e6fbdb5191290a249a3bcdd20e3071cda43d3a,19761019,TYPE 1,STANDARD,WESTWOOD SQUIBB,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-60,NDA017638,probe_NDA017638.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017638%22&limit=1000,750b95ff377ad0b5961abb89ebad8718935f2be07d208b377c3de0875ef345cb,19761105,TYPE 1,PRIORITY,ABBOTT,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-64,NDA050497,probe_NDA050497.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050497%22&limit=1000,1c7da835e20ac3800bb8a84b51da16f596b38c80a5e6bc3dc0617f9aedb91a4a,19761109,TYPE 1,STANDARD,GLAXOSMITHKLINE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-65,NDA017869,probe_NDA017869.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017869%22&limit=1000,df28b80a65ce6b34df6797f6e4728c4741cd334e40c372a51d72aefeea68f693,19761110,TYPE 1,STANDARD,NOVARTIS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-75,NDA050486,probe_NDA050486.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050486%22&limit=1000,042f5c9a0af0c376f43d482921fe33f98a76ddee3145abc6964f59ceb6997c8a,19761126,TYPE 1,PRIORITY,PARKEDALE,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1976-80,NDA017694,probe_NDA017694.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017694%22&limit=1000,e79fb929c02aba14de61c21efbd5c74c34b47faef203cce45525d53c4fe326ee,19761228,TYPE 1,STANDARD,J AND J CONSUMER INC,MATCH,date+class+priority+holder all equal
