row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1978-27,NDA017788,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-28,NDA017769,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-29,NDA017858,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-30,NDA018053,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-31,NDA017780,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-32,NDA017995,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-33,NDA017655,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-34,NDA017362,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-35,NDA017907,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-36,NDA017962,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-37,NDA018127,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-38,NDA018128,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-39,NDA017744,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-40,NDA017820,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-41,NDA018087,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-42,NDA017902,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-43,NDA017903,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-44,NDA017963,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-45,NDA018044,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-46,NDA018086,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-47,NDA017857,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-48,NDA017982,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-49,NDA016818,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-50,NDA017512,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-51,NDA017911,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-52,NDA050504,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-53,NDA018040,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-54,NDA017433,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-55,NDA020216,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1978-56,NDA017955,,,,,,,,PROBE_PENDING,probe capture pending
