company_name,ticker,us_investable_class,total_original_non_nme,distinct_applications,n_type2_new_active,n_type3_new_dosage,n_type4_new_combination,n_type5_formulation_or_manufacturer,n_new_indication_original,n_biosimilar_or_unpublished_bla,n_medical_gas,n_other,clinical_relevant_count,priority_review_count,priority_review_share_pct,first_orig_date,last_orig_date,orig_last_5y,orig_velocity_per_yr,novel_approvals_tracked,rows_flagged_for_review,evidence_basis,verification_status
VIVUS Inc.,VVUS,US-LISTED,2,2,0,0,1,0,0,0,0,1,1,0,0.0,2010-04-12,2012-07-17,0,0.0,1,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=VVUS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Cipla Limited,CIPLA.NS,NON-US LISTING ONLY,2,2,0,1,0,1,0,0,0,0,1,0,0.0,2011-06-29,2025-02-19,1,0.2,0,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=CIPLA.NS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Cubist Pharmaceuticals (acquired by Merck 2015),CBST,FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,1,0,1,0,0,0,0,1,2,100.0,2014-06-20,2020-01-24,0,0.0,3,2,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=CBST) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 2 row(s) flagged for review
"Melinta Therapeutics, Inc.",MLNT,US-LISTED,2,2,0,1,0,1,0,0,0,0,1,1,50.0,2017-06-19,2021-03-12,0,0.0,1,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=MLNT) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Pharmacyclics Inc. (acquired by AbbVie 2015),PCYC,FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,1,0,1,0,0,0,0,1,2,100.0,2018-02-16,2022-08-24,1,0.2,1,2,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=PCYC) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 2 row(s) flagged for review
Biogen Inc.,BIIB,US-LISTED,2,2,1,0,0,0,0,1,0,0,1,0,0.0,2019-10-29,2023-09-29,1,0.2,8,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BIIB) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Incyte Corporation,INCY,US-LISTED,2,2,0,0,0,1,1,0,0,0,1,1,50.0,2021-09-21,2026-05-01,2,0.4,4,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=INCY) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Telix Pharmaceuticals Limited,TLX,US-LISTED (ADR),2,2,0,1,0,1,0,0,0,0,1,0,0.0,2021-12-17,2025-03-20,2,0.4,1,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=TLX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Mirum Pharmaceuticals, Inc.",MIRM,US-LISTED,2,2,0,1,0,1,0,0,0,0,1,1,50.0,2025-02-21,2025-04-10,2,0.4,1,0,"2 original non-NME FDA approvals across 2 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=MIRM) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Abbott Laboratories,ABT,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2002-12-20,2002-12-20,0,0.0,4,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ABT) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Sage Therapeutics,SAGE,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2005-04-25,2005-04-25,0,0.0,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SAGE) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Radius Health, Inc.",RDUS,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2012-03-12,2012-03-12,0,0.0,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=RDUS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Ligand Pharmaceuticals,LGND,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2013-04-12,2013-04-12,0,0.0,4,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=LGND) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
