record_id,year,application_number,kind,appl_no,decision_date,submission_class_code,submission_class_code_description,review_priority,products_verbatim,in_openfda_payload,classification,drugsatfda_url,openfda_url,verification_status,notes
FULldb-1977-SUMMARY,1977,,,,,,,,,,SUMMARY,,,CROSS-CHECKED,full-DB ORIG/AP approvals 1977: 42; openFDA payload rows: 42; payload-invisible (named from the full Drugs@FDA database): 0
FULldb-1978-SUMMARY,1978,,,,,,,,,,SUMMARY,,,CROSS-CHECKED,full-DB ORIG/AP approvals 1978: 66; openFDA payload rows: 66; payload-invisible (named from the full Drugs@FDA database): 0
FULldb-1979-SUMMARY,1979,,,,,,,,,,SUMMARY,,,CROSS-CHECKED,full-DB ORIG/AP approvals 1979: 62; openFDA payload rows: 62; payload-invisible (named from the full Drugs@FDA database): 0
