supplement_id,company_name,openfda_sponsor_name,ticker,exchange,us_investable_class,drug_brand,drug_generic,application_number,submission_number,decision_type,decision_date,review_priority,submission_property_type,pharm_class_epc,route,approval_letter_url,label_url,source_url_drugsatfda,source_query_url,verification_status,sponsor_resolution_basis,notes
S2024-NDA022433-35,AstraZeneca PLC,ASTRAZENECA,AZN,NASDAQ,US-LISTED (ADR),BRILINTA,TICAGRELOR,NDA022433,35,Efficacy Supplement Approval,2024-03-22,STANDARD,,P2Y12 Platelet Inhibitor [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/022433Orig1s035ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022433s035lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022433,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA211616-12,ESPERION THERAPS INC,ESPERION THERAPS INC,UNRESOLVED,,UNRESOLVED (REVIEW),NEXLETOL,BEMPEDOIC ACID,NDA211616,12,Efficacy Supplement Approval,2024-03-22,STANDARD,,Adenosine Triphosphate-Citrate Lyase Inhibitor [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/211616Orig1s012; s013ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/211616s012s013lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211616,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,no sponsor_registry entry for 'esperion theraps',Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA211616-13,ESPERION THERAPS INC,ESPERION THERAPS INC,UNRESOLVED,,UNRESOLVED (REVIEW),NEXLETOL,BEMPEDOIC ACID,NDA211616,13,Efficacy Supplement Approval,2024-03-22,STANDARD,,Adenosine Triphosphate-Citrate Lyase Inhibitor [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/211616Orig1s012; s013ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/211616s012s013lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211616,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,no sponsor_registry entry for 'esperion theraps',Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA211617-16,ESPERION THERAPS INC,ESPERION THERAPS INC,UNRESOLVED,,UNRESOLVED (REVIEW),NEXLIZET,BEMPEDOIC ACID AND EZETIMIBE,NDA211617,16,Efficacy Supplement Approval,2024-03-22,STANDARD,,Adenosine Triphosphate-Citrate Lyase Inhibitor [EPC]; Dietary Cholesterol Absorption Inhibitor [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/211617Origs016; s017ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/211617s016s017lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211617,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,no sponsor_registry entry for 'esperion theraps',Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA211617-17,ESPERION THERAPS INC,ESPERION THERAPS INC,UNRESOLVED,,UNRESOLVED (REVIEW),NEXLIZET,BEMPEDOIC ACID AND EZETIMIBE,NDA211617,17,Efficacy Supplement Approval,2024-03-22,STANDARD,,Adenosine Triphosphate-Citrate Lyase Inhibitor [EPC]; Dietary Cholesterol Absorption Inhibitor [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/211617Origs016; s017ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/211617s016s017lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211617,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,no sponsor_registry entry for 'esperion theraps',Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA208464-16,"Gilead Sciences, Inc.",GILEAD SCIENCES INC,GILD,NASDAQ,US-LISTED,VEMLIDY,TENOFOVIR ALAFENAMIDE,NDA208464,16,Efficacy Supplement Approval,2024-03-27,PRIORITY,,,ORAL,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/208464Orig1s016,s017ltr.pdf",http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208464s016s017lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=208464,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA208464-17,"Gilead Sciences, Inc.",GILEAD SCIENCES INC,GILD,NASDAQ,US-LISTED,VEMLIDY,TENOFOVIR ALAFENAMIDE,NDA208464,17,Efficacy Supplement Approval,2024-03-27,STANDARD,,,ORAL,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/208464Orig1s016,s017ltr.pdf",http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208464s016s017lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=208464,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA022192-23,Vanda Pharmaceuticals Inc.,VANDA PHARMS INC,VNDA,NASDAQ,US-LISTED,FANAPT,ILOPERIDONE,NDA022192,23,Efficacy Supplement Approval,2024-04-02,STANDARD,,Atypical Antipsychotic [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/022192Orig1s023Correctedltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022192s023lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=022192,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-BLA761067-18,SUN PHARMA GLOBAL,SUN PHARMA GLOBAL,UNRESOLVED,,UNRESOLVED (REVIEW),ILUMYA,TILDRAKIZUMAB-ASMN,BLA761067,18,Efficacy Supplement Approval,2024-04-03,STANDARD,,Interleukin-23 Antagonist [EPC],SUBCUTANEOUS,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/761067Orig1s018ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761067s018lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761067,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,no sponsor_registry entry for 'sun global',Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
S2024-NDA206947-30,"Eisai Co., Ltd.",EISAI INC,ESALY,OTC ADR; primary TSE:4523,US-LISTED (ADR),LENVIMA,LENVATINIB,NDA206947,30,Efficacy Supplement Approval,2024-04-03,PRIORITY,Orphan,Kinase Inhibitor [EPC],ORAL,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2024/206947Orig1s030ltr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2024/206947s030lbl.pdf,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=206947,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""SUPPL""%20AND%20submissions.submission_class_code:""EFFICACY""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20240101%20TO%2020241231]&limit=1000&skip=0",Verified - FDA approval letter,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),Indication text is intentionally not recorded: FDA publishes no structured indication field for supplements. Read the linked FDA approval letter / label for the approved indication.
