company_name,ticker,exchange,us_investable_class,decisions_tracked,approvals_tracked,crls_tracked,withdrawals_flagged,priority_review_count,accelerated_approval_count,standard_review_count,pathway_known_count,success_rate_pct,success_rate_wilson_lower_pct,success_rate_shrunk_pct,price_events,positive_reaction_rate_pct,median_pct_on_decision,median_pct_t1,pipeline_programs,advanced_count,paused_count,pipeline_progression_pct,score_outcome,score_market,score_experience,score_pathway,score_pipeline,total_score_0_100,grade,confidence,last_decision_date,recency_days,data_scope,inputs_source,notes
Genentech (acquired by Roche 2009),DNA,,FORMERLY US-LISTED (DELISTED/ACQUIRED),5,5,0,0,2,0,1,3,100.0,56.6,96.5,0,,,,,,,,39.65,,21.49,15.38,,76.5,B,Moderate,2012-06-08,5209,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (5 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 5 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.5% (raw 100.0%, Wilson95 LB 56.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.86 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 5 tracked decisions -> 0.70 (saturates at 12) | Pathway: 2/3 approvals Priority Review (67%), 0 accelerated (0%) -> 0.67 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Jazz Pharmaceuticals Ireland Limited,JAZZ,NASDAQ,US-LISTED,4,4,0,0,1,0,0,1,100.0,51.0,96.0,1,100.0,-0.78,1.2,,,,,27.96,17.2,13.94,16.67,,75.8,B,Moderate,2021-06-30,1900,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +1.20% -> 0.62 | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Pharmacia (acquired by Pfizer 2003),PGE?,,FORMERLY US-LISTED (DELISTED/ACQUIRED),5,5,0,0,3,0,2,5,100.0,56.6,96.5,0,,,,,,,,39.65,,21.49,13.85,,75.0,B,Moderate,2003-03-25,8572,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (5 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 5 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.5% (raw 100.0%, Wilson95 LB 56.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.86 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 5 tracked decisions -> 0.70 (saturates at 12) | Pathway: 3/5 approvals Priority Review (60%), 0 accelerated (0%) -> 0.60 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
The Medicines Company (acquired by Chiesi Farmaceutici 2019),MDCO,NASDAQ (delisted 2020),US-LISTED,5,5,0,0,3,0,2,5,100.0,56.6,96.5,0,,,,,,,,39.65,,21.49,13.85,,75.0,B,Moderate,2017-08-29,3301,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (5 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 5 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.5% (raw 100.0%, Wilson95 LB 56.6%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.86 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 5 tracked decisions -> 0.70 (saturates at 12) | Pathway: 3/5 approvals Priority Review (60%), 0 accelerated (0%) -> 0.60 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
"Neurocrine Biosciences, Inc.",NBIX,NASDAQ,US-LISTED,3,3,0,0,1,0,0,1,100.0,43.8,95.3,1,100.0,-0.07,4.94,,,,,27.07,18.86,12.01,16.67,,74.6,B,Moderate,2024-12-13,638,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (3 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 3 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 95.3% (raw 100.0%, Wilson95 LB 43.8%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.81 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +4.94% -> 0.68 | Experience: 3 tracked decisions -> 0.54 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
"Rhythm Pharmaceuticals, Inc.",RYTM,NASDAQ,US-LISTED,1,1,0,0,1,0,0,1,100.0,20.7,93.0,1,100.0,4.14,26.16,,,,,23.93,27.78,6.01,16.67,,74.4,B,Low,2020-11-25,2117,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (1 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 1 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 93.0% (raw 100.0%, Wilson95 LB 20.7%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.72 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +26.16% -> 1.00 | Experience: 1 tracked decisions -> 0.27 (saturates at 12) | Pathway: 1/1 approvals Priority Review (100%), 0 accelerated (0%) -> 1.00 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Ligand Pharmaceuticals / Pelthos Therapeutics,LGND,NASDAQ,US-LISTED,4,4,0,0,3,0,1,4,100.0,51.0,96.0,1,100.0,0.67,5.67,,,,,27.96,19.19,13.94,12.5,,73.6,B,Moderate,2024-01-05,981,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (1 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: 1 priced events, 100% positive at T+1, median T+1 +5.67% -> 0.69 | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 3/4 approvals Priority Review (75%), 0 accelerated (0%) -> 0.75 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
Celgene Corporation (acquired by Bristol Myers Squibb 2019),CELG,NASDAQ (delisted 2019),US-LISTED,4,4,0,0,2,0,1,3,100.0,51.0,96.0,0,,,,,,,,38.72,,19.31,15.38,,73.4,B,Moderate,2017-08-01,3329,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 2/3 approvals Priority Review (67%), 0 accelerated (0%) -> 0.67 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
GE Healthcare (General Electric),GE,NYSE,US-LISTED,4,4,0,0,2,0,1,3,100.0,51.0,96.0,0,,,,,,,,38.72,,19.31,15.38,,73.4,B,Moderate,2013-10-25,4705,Verified - components used: outcome+experience+pathway (FDA decisions only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (4 approval rows), data/fda_crl_master.csv (0 CRL rows), data/stock_price_snapshots.csv (0 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 4 approvals / 0 CRLs / 0 withdrawals flagged -> shrunk rate 96.0% (raw 100.0%, Wilson95 LB 51.0%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.84 of the component | Market: no verified price events for this ticker (blank, not estimated) | Experience: 4 tracked decisions -> 0.63 (saturates at 12) | Pathway: 2/3 approvals Priority Review (67%), 0 accelerated (0%) -> 0.67 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, experience=20, pathway=15."
Bristol Myers Squibb Company (via Celgene),BMY,NYSE,US-LISTED,25,24,1,0,13,0,9,22,96.0,80.5,95.4,5,80.0,0.76,0.99,,,,,27.23,13.77,22.22,9.85,,73.1,B,Moderate,2026-08-13,30,Verified - components used: outcome+market+experience+pathway (FDA decisions + prices only),"computed by scripts/build_company_scores.py on 2026-09-12 from data/fda_decisions_master.csv (24 approval rows), data/fda_crl_master.csv (1 CRL rows), data/stock_price_snapshots.csv (5 priced events), data/company_scorecards.csv (FDA-decisions-only)","Outcome: 24 approvals / 1 CRLs / 0 withdrawals flagged -> shrunk rate 95.4% (raw 96.0%, Wilson95 LB 80.5%, prior 90.6% x k=3) mapped through the 75%-100% calibration band -> 0.82 of the component | Market: 5 priced events, 80% positive at T+1, median T+1 +0.99% -> 0.50 | Experience: 25 tracked decisions -> 1.00 (saturates at 12) | Pathway: 13/22 approvals Priority Review (59%), 0 accelerated (0%) -> 0.59 | Pipeline: FDA-decisions-only scorecard - progression deliberately not estimated | Component weights re-normalised over available components: outcome=30, market=25, experience=20, pathway=15."
