orig_id,company_name,openfda_sponsor_name,ticker,exchange,us_investable_class,drug_brand,drug_generic,application_number,application_kind,decision_type,decision_date,chemical_type_code,chemical_type_description,chemical_type_group,review_priority,dosage_form,route,pharm_class_epc,source_url_1,source_url_2,source_query_url,verification_status,sponsor_resolution_basis,notes
O-NDA074973,PANGEA,PANGEA,UNRESOLVED,,UNRESOLVED (REVIEW),PRIMSOL,TRIMETHOPRIM HYDROCHLORIDE EQ 50MG BASE/5ML,NDA074973,NDA,Original Approval (non-NME),2000-01-24,,,Class not published,,SOLUTION,ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=074973,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA074973""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=0",Verified - openFDA Drugs@FDA ORIG/AP record - FLAGGED: openFDA published no submission_class_code; FLAGGED: sponsor not resolved to a listed security,no sponsor_registry entry for 'pangea',"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. FLAGGED: openFDA published no submission_class_code FLAGGED: sponsor not resolved to a listed security"
O-NDA020939,Bausch Health Companies Inc.,BIOVAIL,BHC,NYSE,US-LISTED,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE 420MG,NDA020939,NDA,Original Approval (non-NME),2000-01-28,TYPE 5,Type 5 - New Formulation or New Manufacturer,Type 5 — New formulation or manufacturer,STANDARD,"CAPSULE, EXTENDED RELEASE",ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020939,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020939""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",Verified - openFDA Drugs@FDA ORIG/AP record - Type 5 may be a new manufacturer rather than a new clinical programme,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. Type 5 may be a new manufacturer rather than a new clinical programme"
O-NDA021117,Pfizer Inc.,HOSPIRA,PFE,NYSE,US-LISTED,CALCIUM CHLORIDE 10% IN PLASTIC CONTAINER,CALCIUM CHLORIDE,NDA021117,NDA,Original Approval (non-NME),2000-01-28,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,INJECTABLE,INTRAVENOUS,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021117,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021117""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA020120,Lupin Limited,LUPIN ATLANTIS,NO_US_TICKER,NSE/BSE,NON-US LISTING ONLY,ALLERNAZE,TRIAMCINOLONE ACETONIDE 0.05MG/SPRAY,NDA020120,NDA,Original Approval (non-NME),2000-02-04,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,"SPRAY, METERED",NASAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020120,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020120""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA021151,LEGACY,LEGACY,UNRESOLVED,,UNRESOLVED (REVIEW),BETAPACE AF,SOTALOL HYDROCHLORIDE 40MG,NDA021151,NDA,Original Approval (non-NME),2000-02-22,TYPE 6,Type 6 - New Indication (no longer used),New indication filed as distinct original,STANDARD,TABLET,ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021151,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021151""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",Verified - openFDA Drugs@FDA ORIG/AP record - FLAGGED: sponsor not resolved to a listed security,no sponsor_registry entry for 'legacy',"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. FLAGGED: sponsor not resolved to a listed security"
O-NDA021114,Alcon Inc.,ALCON PHARMS LTD,ALC,NYSE,US-LISTED,BETAXON,LEVOBETAXOLOL HYDROCHLORIDE EQ 0.5% BASE,NDA021114,NDA,Original Approval (non-NME),2000-02-23,TYPE 2,Type 2 - New Active Ingredient,Type 2 — New active ingredient,PRIORITY,SUSPENSION/DROPS,OPHTHALMIC,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021114,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021114""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA020872,Sanofi,CHATTEM SANOFI,SNY,NASDAQ,US-LISTED (ADR),ALLEGRA HIVES,FEXOFENADINE HYDROCHLORIDE,NDA020872,NDA,Original Approval (non-NME),2000-02-25,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,TABLET,ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020872,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA020872""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA021015,Besins Healthcare,BESINS HLTHCARE,NO_US_TICKER,,PRIVATE / NO EQUITY,ANDROGEL,TESTOSTERONE,NDA021015,NDA,Original Approval (non-NME),2000-02-28,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,"GEL; GEL, METERED",TRANSDERMAL,Androgen [EPC],https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021015,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021015""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=1000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA021129,Viatris Inc,VIATRIS,VTRS,NASDAQ,US-LISTED,NEURONTIN,GABAPENTIN,NDA021129,NDA,Original Approval (non-NME),2000-03-02,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,SOLUTION,ORAL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021129,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021129""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
O-NDA021088,Johnson & Johnson,ORTHO MCNEIL JANSSEN,JNJ,NYSE,US-LISTED,VIADUR,LEUPROLIDE ACETATE EQ 65MG BASE,NDA021088,NDA,Original Approval (non-NME),2000-03-03,TYPE 3,Type 3 - New Dosage Form,Type 3 — New dosage form,STANDARD,IMPLANT,IMPLANTATION,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021088,"https://api.fda.gov/drug/drugsfda.json?search=application_number:""NDA021088""","https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[20000101%20TO%2020001231]&limit=1000&skip=2000",Verified - openFDA Drugs@FDA ORIG/AP record,sponsor_registry exact key match (SEC company_tickers.json / verified master lineage),"Indication text is intentionally not recorded: openFDA's original-approval extract has no structured indication field. Read the linked Drugs@FDA application record. Chemical type is FDA's submission_class_code_description, copied verbatim. "
