ApplNo	ApplType	ApplPublicNotes	SponsorName
009838	NDA		SANDOZ
009854	NDA		ANI PHARMS
009866	NDA		PHARMACIA AND UPJOHN
009900	NDA		PHARMACIA AND UPJOHN
009986	NDA		PHARMACIA AND UPJOHN
009987	NDA		PHARMACIA AND UPJOHN
009996	NDA		PFIZER
010021	NDA		ABBVIE
010028	NDA		WYETH AYERST
010040	NDA		BRACCO
010060	NDA		CASPER PHARMA LLC
010093	NDA		UCB INC
010104	NDA		BAUSCH
010124	NDA		LANNETT
010151	NDA		PARKE DAVIS
010155	NDA		SANOFI AVENTIS US
010187	NDA		SANDOZ
010209	NDA		SCHERING
010220	NDA		GE HEALTHCARE
010251	NDA		TARGACEPT
010255	NDA		SCHERING
010348	NDA		WYETH AYERST
010349	NDA		HIKMA
010374	NDA		3M
010375	NDA		3M
010379	NDA		KING PHARMS
010392	NDA		PFIZER
010402	NDA		WYETH PHARMS
010417	NDA		FRESENIUS KABI USA
010423	NDA		ROCHE
010485	NDA		ROERIG
010496	NDA		ASTRAZENECA
010515	NDA		BAUSCH
010533	NDA		NOVARTIS
010554	NDA		PFIZER
010562	NDA		MERCK
010571	NDA		GLAXOSMITHKLINE
010585	NDA		MERCK
010596	NDA		PARKE DAVIS
010598	NDA		SANOFI AVENTIS US
010599	NDA		ABBVIE
010611	NDA		PHARMACIA AND UPJOHN
010653	NDA		3M
010656	NDA		MERCK
010669	NDA		WAYLIS THERAP
010670	NDA		PHARMACIA AND UPJOHN
010679	NDA		SANOFI AVENTIS US
010686	NDA		PFIZER
010721	NDA		CASPER PHARMA LLC
010742	NDA		GLAXOSMITHKLINE
010744	NDA		GLAXOSMITHKLINE
010753	NDA		WYETH AYERST
010775	NDA		SCHERING
010787	NDA		SANOFI AVENTIS US
010791	NDA		BEL MAR
010796	NDA		ABBVIE
010799	NDA		WYETH CONS
010831	NDA		ORGANICS LAGRANGE
010841	NDA		RECORDATI RARE
010909	NDA		SCHERING
010911	NDA		STUART PHARMS
